Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
1,11,4096,15,6,0,0,0,14,11,1,12,1344,6520,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,7460,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,6440,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,7744,0,1
1,11,4096,15,6,0,0,0,14,11,1,12,1344,7212,0,1
1,10,329052,0,5,0,0,0,11,0,3,0,34112,1066,0,1
1,6,242976,0,5,0,0,241664,10,0,6,12,33088,14608,0,1
1,11,4528,10,10,15696,808,24576,14,10,4,9,17728,984,0,1
1,6,4288,6,6,16384,808,4096,9,0,3,9,1344,984,0,1
4,6,545984,502,5,768000,81,544768,10,0,5,12,448,960,0,1
1,6,434784,502,5,581280,81,434176,10,0,4,12,448,960,0,1
4,11,544928,10,10,606016,9016,332032,14,10,6,11,49504,2528,0,1
4,6,7104,6,6,562528,9044,4096,9,0,4,11,33088,2528,0,1
1,11,64224,10,6,213376,272,225280,14,10,4,12,33088,50112,0,1
1,6,4096,10,6,0,0,0,14,10,1,12,1344,155032,0,1
1,11,307028,10,6,62084,224,319488,14,10,6,12,320,1624,0,1
1,11,11088,10,6,4360,163,16384,14,10,4,12,1344,984,0,1
1,11,11088,10,6,4360,163,16384,14,10,4,12,1344,1000,0,1
1,6,4096,10,6,0,0,0,14,10,1,12,1344,76360,0,1
1,10,11340,0,4,0,0,8192,48,0,2,12,34144,2212,0,1
1,6,41312,0,5,48864,74,40960,9,0,4,12,320,1552,0,1
4,6,45760,0,5,55024,74,45056,9,0,5,12,320,1560,0,1
1,11,44176,10,6,0,0,319488,14,10,6,12,33088,1824,0,1
4,11,319024,10,6,354288,244,262144,14,10,7,12,352,1056,0,1
1,11,38032,10,6,261600,243,274432,14,10,6,12,320,1048,0,1
1,11,38032,10,6,261600,243,274432,14,10,6,12,320,1056,0,1
4,6,5360,6,6,0,0,4096,9,0,4,11,33088,2176,0,1
1,11,31856,10,10,0,0,106496,14,10,4,9,49472,2168,0,1
4,11,124160,10,10,0,0,93616,14,10,5,11,49504,2176,0,1
1,6,4736,6,6,0,0,4096,9,0,3,9,33088,2168,0,1
4,11,14720,10,10,15776,116,12560,14,10,5,9,16736,1104,0,1
4,6,4512,6,6,34176,113,4096,9,0,4,9,320,1104,0,1
4,6,16384,0,4,32768,147,37240,2,28,9,18,0,0,0,1
4,11,147536,10,10,171008,184,131584,14,10,6,9,16736,1392,0,1
4,11,42064,10,10,0,0,36280,14,10,5,11,49504,2160,0,1
1,11,5152,10,10,8848,163,16384,14,10,4,9,16704,1032,0,1
4,11,10688,10,10,11616,164,9856,14,10,5,9,16736,1032,0,1
1,6,4288,6,6,8800,163,4096,9,0,4,9,320,1032,0,1
4,6,4480,6,6,11104,163,4096,9,0,5,9,320,1032,0,1
1,0,0,0,4,0,0,36864,6,0,3,12,0,66232,0,1
1,14,104672,0,6,0,0,81920,14,0,5,12,33088,1368,0,1
1,11,4416,10,10,0,0,12288,14,10,4,9,49472,175080,0,1
4,11,9040,10,10,0,0,8464,14,10,5,11,49504,175088,0,1
4,11,36800,10,10,0,0,32000,14,10,5,11,49504,1032,0,1
1,6,155796,0,4,0,0,8192,48,0,2,12,34144,60044,0,1
4,6,442467,0,4,307200,53,312160,2,30,12,18,320,111640,0,1
4,6,442466,0,4,307200,52,312160,2,30,12,18,320,111024,0,1
1,6,98360,0,4,0,0,8192,48,0,2,12,34144,60136,0,1
4,6,1532015,0,4,1499136,65,1506016,2,30,12,18,320,3000,0,1
1,6,1556591,1,4,1495040,65,1500616,2,29,11,18,320,3000,0,1
4,6,57484,0,4,0,0,41564,2,30,10,18,0,1256,0,1
1,6,49292,1,4,0,0,33104,2,29,9,18,0,1256,0,1
4,6,1540197,0,4,1507328,55,1514240,2,30,12,18,320,3000,0,1
4,6,2084970,0,4,2052096,60,2058960,2,30,12,18,320,3000,0,1
1,6,1855594,1,4,1789952,60,1795520,2,29,11,18,320,3000,0,1
4,6,442470,0,4,307200,52,312160,2,30,12,18,320,110856,0,1
4,6,1532011,0,4,1499136,61,1506000,2,30,12,18,320,3000,0,1
4,6,1646697,0,4,1609728,59,1616812,2,30,12,18,320,3000,0,1
1,6,1679465,1,4,1613824,59,1619508,2,29,11,18,320,3000,0,1
4,6,1663080,0,4,1626112,58,1633288,2,30,12,18,320,3000,0,1
4,6,331878,0,4,307200,56,312160,2,30,12,18,320,3000,0,1
1,6,323682,1,4,299008,48,303596,2,29,11,18,320,3000,0,1
1,10,598720,14,6,670736,25642,598016,12,0,4,12,320,1512,0,1
1,6,302928,0,4,0,0,8192,48,0,2,12,34144,1628,0,1
4,6,442467,0,4,307200,49,312160,2,30,12,18,320,110856,0,1
1,10,3368880,0,6,3748176,424,3067904,14,10,5,12,320,1152,0,1
1,11,1598932,0,6,1638400,209,1601536,14,10,5,12,320,1176,0,1
1,10,2528640,0,6,2781424,208,2277376,14,10,5,12,320,1152,0,1
1,6,323686,1,4,299008,56,303596,2,29,11,18,320,3000,0,1
4,6,1663082,0,4,1626112,60,1633196,2,30,12,18,320,3000,0,1
1,6,1695850,1,4,1626112,60,1631796,2,29,11,18,320,3000,0,1
4,6,1511536,0,4,1478656,66,1485520,2,30,12,18,320,3000,0,1
1,6,1544304,1,4,1482752,66,1488320,2,29,11,18,320,3000,0,1
4,6,1511529,0,4,1478656,59,1485520,2,30,12,18,320,3000,0,1
1,6,1544297,1,4,1482752,59,1488320,2,29,11,18,320,3000,0,1
4,6,1609834,0,4,1576960,60,1583840,2,30,12,18,320,3000,0,1
1,10,1165264,0,6,1563024,4803,1163264,12,10,4,12,33088,2800,0,1
1,11,1935200,0,6,2084528,18020,1638400,14,10,5,12,49472,2784,1,1
1,10,1220288,0,6,1324976,864,1007616,14,10,7,12,33088,391420,1,1
1,10,42688,0,6,0,0,36864,14,10,6,12,33088,100388,0,1
1,11,18560,10,10,167504,932,184320,14,10,5,9,16704,21344,0,1
4,11,183696,10,10,204816,932,181344,14,10,6,9,16736,21344,0,1
1,6,4544,6,6,231184,932,4096,9,0,3,9,320,19984,0,1
4,6,4944,6,6,217136,932,4096,9,0,4,9,320,19984,0,1
1,11,34768,10,10,87616,193,94208,14,10,5,9,16704,972376,0,1
4,11,90208,10,10,104528,196,58288,14,10,6,9,16736,972376,0,1
1,6,4496,6,6,134336,139,4096,9,0,3,9,320,972376,0,1
4,6,4928,6,6,121104,139,4096,9,0,4,9,320,972376,0,1
1,11,85184,0,6,155648,181,86016,14,10,5,12,320,1192,0,1
4,11,118736,0,6,192512,181,122880,14,10,7,12,16736,1192,0,1
1,6,4096,0,6,4128,52,0,14,10,1,12,1344,165300,0,1
1,0,0,0,6,662336,3845,643072,11,0,4,12,320,1281,0,1
4,6,6704,6,6,93520,168,4096,9,0,4,9,320,130152,0,1
1,6,5424,6,6,86816,168,4096,9,0,3,9,320,130152,0,1
1,11,33088,10,10,0,0,192512,14,10,4,9,49472,41424,0,1
4,11,186256,10,10,0,0,135168,14,10,5,11,49504,41424,0,1
4,11,55088,10,10,63696,124,50032,14,10,5,9,16736,1232,0,1
1,6,10812,0,4,0,0,8192,8,0,2,12,34112,1624,0,1
4,6,8496,0,4,0,0,8192,8,0,5,12,0,3167612,1,1
4,6,16384,0,4,0,0,32988,2,28,8,18,32768,1256,0,1
4,6,196608,0,4,0,0,226464,2,25,8,18,32768,1256,0,1
1,6,192512,1,4,0,0,226012,2,25,7,18,32768,1256,0,1
1,6,4096,0,6,0,0,0,14,10,1,12,1344,115264,0,1
1,6,4096,0,6,0,0,0,14,10,1,12,1344,4700,0,1
4,11,1589452,0,6,1617920,212,1593344,14,10,7,12,16736,351440,1,1
4,6,4096,0,6,4128,64,0,14,10,1,12,16736,8911852,1,1
4,11,60912,10,10,66176,168,54864,14,10,5,9,16736,2856,0,1
4,6,5456,6,6,71296,167,4096,9,0,4,9,320,2856,0,1
1,11,7808,10,10,25696,112,32768,14,10,5,9,16704,1056,0,1
4,11,29392,10,10,31760,112,25056,14,10,6,9,16736,1056,0,1
4,6,5040,6,6,0,0,4096,9,0,4,11,33088,3848,0,1
1,6,4096,0,6,0,0,0,14,10,1,12,1344,3007784,0,1
1,11,219376,10,10,0,0,757760,14,10,5,9,49472,3467904,0,1
4,11,829568,10,10,0,0,654728,14,10,6,11,49504,3467904,0,1
1,6,8880,6,6,717872,89,4096,9,0,3,9,33088,3483832,0,1
4,6,13648,6,6,1046048,89,4096,9,0,4,11,33088,3483832,0,1
1,11,53680,10,10,138336,112,147456,14,10,4,9,16704,1048,0,1
4,11,153456,10,10,167616,112,110872,14,10,5,9,16736,1048,0,1
4,6,4960,6,6,226816,112,4096,9,0,4,9,320,1048,0,1
1,6,4512,6,6,184128,112,4096,9,0,3,9,320,1048,0,1
1,6,36952,0,4,0,0,8192,11,0,2,12,34144,1104,0,1
1,6,653780,0,4,0,0,8192,48,0,2,12,34144,1208,0,1
1,6,81132,0,4,0,0,8192,48,0,2,12,34144,1604,0,1
4,6,964560,0,5,1265856,43733,962560,10,0,5,12,320,64536,0,1
1,6,758752,0,5,953136,45311,757760,10,0,4,12,320,85704,0,1
1,10,139664,0,6,176048,146,139264,12,0,4,12,320,1712,0,1
1,10,143760,0,6,180144,146,143360,12,0,4,12,320,1712,0,1
4,11,89440,10,10,100896,112,71776,14,10,6,9,16736,3208,0,1
4,6,5776,6,6,109616,111,4096,9,0,4,9,320,3272,0,1
4,11,9136,10,10,0,0,8464,14,10,5,11,49504,50048,0,1
4,6,4608,6,6,0,0,4096,9,0,4,11,33088,50048,0,1
1,10,430720,0,6,559776,151,430080,12,0,4,12,320,1624,0,1
1,10,434816,0,6,564448,151,434176,12,0,4,12,320,1624,0,1
1,11,97232,10,10,420176,1211,434176,14,10,5,9,16704,321928,0,1
4,11,496928,10,10,528336,1212,397336,14,10,6,9,16736,321928,0,1
1,6,5440,6,6,464192,1211,4096,9,0,3,9,320,321928,0,1
4,6,6736,6,6,619872,1211,4096,9,0,4,9,320,321928,0,1
1,11,55808,10,10,247712,165,286720,14,10,4,9,16704,25864,0,1
4,11,285424,10,10,355024,168,251144,14,10,5,9,16736,25872,0,1
4,10,19036,0,5,0,0,0,11,0,3,0,33088,1056,0,1
1,6,151316,0,4,0,0,8192,11,0,2,12,34144,1032,0,1
1,6,19540,0,4,0,0,8192,11,0,2,12,34144,1576,0,1
1,6,18520,0,4,0,0,8192,11,0,2,12,34144,4008,0,1
1,6,27560,0,4,0,0,8192,11,0,2,12,34144,1008,0,1
1,0,0,0,4,0,0,8192,11,0,2,12,34144,1080,0,1
1,0,0,0,4,0,0,8192,11,0,2,12,34144,69400,0,1
1,6,211152,0,4,0,0,8192,11,0,2,12,34144,1040,0,1
1,6,130192,0,4,0,0,8192,11,0,2,12,34144,3976,0,1
1,10,26404,0,4,0,0,8192,48,0,2,12,34144,6240,0,1
1,10,70928,0,5,0,0,0,11,0,3,0,34112,1266,0,1
1,10,75584,0,4,0,0,8192,48,0,2,12,34144,43080,0,1
1,10,473924,0,4,0,0,8192,48,0,2,12,34144,52196,0,1
1,10,1414716,0,5,0,0,0,11,0,3,0,34112,1330,0,1
1,10,2218360,0,5,0,0,0,11,0,3,0,34112,1048,0,1
1,10,312656,0,4,0,0,8192,48,0,2,12,34144,1088,0,1
1,10,19144,0,4,0,0,8192,48,0,2,12,34144,1252,0,1
1,10,160812,0,4,0,0,8192,48,0,2,12,34144,1128,0,1
1,10,117368,0,4,0,0,8192,48,0,2,12,34144,1176,0,1
1,10,510644,0,4,0,0,8192,48,0,2,12,34144,1176,0,1
1,11,42176,10,10,535920,229,561152,14,10,5,9,16704,706712,0,1
4,11,537424,10,10,647328,232,515968,14,10,6,9,16736,706712,0,1
4,6,7904,6,6,649216,229,4096,9,0,4,9,320,702032,0,1
1,6,6016,6,6,520448,229,4096,9,0,3,9,320,702032,0,1
1,6,4128,6,6,53168,241,78400,10,10,4,9,320,1565040,0,1
4,6,4144,6,6,60272,241,87016,10,10,5,9,320,1724332,0,1
1,11,7776,10,10,77936,1716,86016,14,10,5,9,16704,1304,0,1
4,11,78768,10,10,92336,1716,74096,14,10,6,9,16736,1304,0,1
4,6,5104,6,6,82480,1716,4096,9,0,4,9,320,1304,0,1
1,11,162240,10,6,0,0,159744,14,10,4,12,320,1128,0,1
4,11,66880,10,10,0,0,62640,14,10,7,11,49632,2392,0,1
4,6,4960,6,6,34128,165,4096,9,0,4,9,64,65924,0,1
4,6,4960,6,6,35216,165,4096,9,0,4,9,64,70456,0,1
4,6,4960,6,6,34128,165,4096,9,0,4,9,64,45852,0,1
4,6,4992,6,6,35952,165,4096,9,0,4,9,64,68112,0,1
4,6,4864,6,6,79248,124,4096,9,0,5,9,64,145680,0,1
4,6,4864,6,6,79616,124,4096,9,0,5,9,64,144760,0,1
4,6,4864,6,6,79248,124,4096,9,0,5,9,64,145432,0,1
4,6,4880,6,6,81600,124,4096,9,0,5,9,64,148952,0,1
4,6,4816,6,6,0,0,4096,9,0,4,11,33088,2040,0,1
1,11,17984,10,10,106096,2345,167936,14,10,4,9,16704,2008,0,1
4,11,127168,10,10,133024,2348,110912,14,10,5,9,16736,2008,0,1
4,6,6224,6,6,174432,2263,4096,9,0,4,9,64,1336,0,1
1,6,5168,6,6,150512,2263,4096,9,0,3,9,320,1336,0,1
4,6,6640,6,6,218912,164,4096,9,0,4,9,64,61000,0,1
1,6,5392,6,6,180048,164,4096,9,0,3,9,320,61000,0,1
4,0,0,6,6,0,0,0,9,0,0,9,64,163088,0,1
1,0,0,6,6,0,0,0,9,0,0,9,1344,163088,0,1
4,10,403872,6,6,425816,165,405504,8,0,5,9,64,1400,0,1
4,11,789328,10,10,840480,444,772904,14,10,7,9,16736,707944,0,1
1,11,22000,10,10,708064,441,716800,14,10,6,9,16704,707944,0,1
1,10,425880,6,6,117248,165,4096,8,0,3,9,320,1400,0,1
1,11,185036,0,6,237568,494,188416,14,10,5,12,320,7648,0,1
1,0,0,6,5,0,0,36864,10,0,5,12,34112,422352,0,1
1,11,41296,6,5,0,0,36864,14,0,5,12,34112,104960,0,1
1,11,41328,6,5,0,0,36864,14,0,5,12,50496,193712,0,1
1,11,5056,10,10,13248,1170,20480,14,10,5,9,16704,1080,0,1
4,11,18624,10,10,20672,1172,17264,14,10,6,9,16736,1080,0,1
4,6,4832,6,6,23936,1170,4096,9,0,4,9,320,1080,0,1
1,6,4464,6,6,18896,1170,4096,9,0,3,9,320,1080,0,1
4,6,40960,0,4,0,0,58000,2,28,8,18,32768,1256,0,1
1,6,40960,1,4,0,0,57760,2,28,7,18,32768,1256,0,1
1,10,4096,10,10,0,0,0,14,10,1,9,1344,853392,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,853392,0,1
4,0,0,6,6,0,0,0,10,10,0,9,320,840456,0,1
4,0,0,6,6,0,0,0,9,0,0,9,64,761840,0,1
1,11,68848,10,10,895792,1439,913408,14,10,5,9,16704,16936,0,1
4,11,987632,10,10,1147792,1440,938976,14,10,6,9,16736,16936,0,1
1,6,18932,0,4,0,0,8192,11,0,2,12,34144,960,0,1
1,6,19252,0,4,0,0,8192,11,0,2,12,34144,1024,0,1
4,6,49152,0,4,0,0,66064,2,28,8,18,32768,1256,0,1
4,6,4848,6,6,0,0,4096,9,0,4,11,33088,2064,0,1
1,11,12000,10,10,0,0,36864,14,10,4,9,49472,2056,0,1
4,0,0,0,4,0,0,33268,2,25,17,18,0,1256,0,1
1,11,216768,10,10,223168,90,229376,14,10,4,9,16704,1048,0,1
4,11,225456,10,10,226720,92,12560,14,10,5,9,16736,1048,0,1
1,6,4224,6,6,221472,90,4096,9,0,3,9,320,1048,0,1
4,6,4352,6,6,223424,90,4096,9,0,4,9,320,1048,0,1
1,11,4432,10,10,9072,87,16384,14,10,4,9,16704,1056,0,1
4,11,13072,10,10,14096,88,12736,14,10,5,9,16736,1056,0,1
1,11,4544,10,10,12352,89,20480,14,10,4,9,16704,1048,0,1
4,11,17360,10,10,18656,92,16656,14,10,5,9,16736,1048,0,1
1,6,4240,6,6,11072,89,4096,9,0,3,9,320,1048,0,1
4,6,4400,6,6,13472,89,4096,9,0,4,9,320,1048,0,1
1,11,6656,10,10,8352,88,20480,14,10,4,9,17728,1032,0,1
4,11,11168,10,10,11760,88,8656,14,10,5,9,16736,1032,0,1
4,11,224076,0,6,286720,486,225280,14,10,7,12,16736,7648,0,1
4,11,6033376,10,10,6629552,2616,5869376,14,10,7,9,16736,5750896,1,1
4,11,126464,10,10,132144,4296,87920,14,10,5,11,49504,2328,0,1
4,11,70048,10,10,0,0,65856,14,10,5,11,49504,88000,0,1
1,6,4096,0,6,4128,56,0,14,10,1,12,1344,3672,0,1
4,10,12581616,1,10,13194560,684,10969088,14,0,6,12,16736,1000,0,1
4,11,14842528,10,10,15189280,80,4677632,14,0,6,12,16736,1024,0,1
1,6,4365824,10,10,75010480,334,4362240,12,0,4,12,320,1024,0,1
4,6,317200,0,6,0,0,233472,14,0,6,12,49504,8168,0,1
1,6,8400,0,4,0,0,8192,8,0,2,12,1088,1040,0,1
4,11,296320,10,6,0,0,200704,12,10,5,21,49504,1892,0,1
4,10,4096,10,10,0,0,0,14,10,1,9,352,693448,1,1
1,11,18288,10,10,170720,104,196608,14,10,4,9,16704,976,0,1
4,11,152784,10,10,216784,104,144368,14,10,5,9,16736,976,0,1
1,6,4160,0,6,62896,57,876544,12,0,4,12,320,912,0,1
1,6,4400,0,4,37024,57,4096,8,0,3,12,320,912,0,1
1,11,1339916,10,6,398924,104,1355776,14,10,5,12,320,2339112,1,1
1,6,4096,10,6,0,0,0,14,10,1,12,1344,361304,0,1
1,11,14352,10,10,319904,163,331776,14,10,4,9,16704,17120,0,1
4,11,337616,10,10,384464,164,320960,14,10,5,9,16736,17120,0,1
1,6,4832,6,6,285456,163,4096,9,0,3,9,320,17112,0,1
4,6,5536,6,6,373968,163,4096,9,0,4,9,320,17112,0,1
1,11,19296,10,10,212512,1915,311296,14,10,7,9,16704,1360,0,1
4,11,13632,10,6,16752,80,12288,14,10,5,12,352,1024,0,1
4,11,289536,10,10,333360,484,247880,14,10,6,9,16736,1488,0,1
1,11,34576,10,10,256608,482,274432,14,10,5,9,16704,1488,0,1
2,11,69376,10,10,253072,482,282624,14,10,6,9,16704,1488,0,1
4,11,1197968,10,10,1386320,160,1059176,14,10,6,9,16736,1056,0,1
4,10,123760,0,6,174400,132,122880,12,0,5,12,352,1328,0,1
4,6,16384,0,4,32768,137,37304,2,28,10,18,32768,1256,0,1
1,6,82464,0,4,0,0,8192,11,0,2,12,34144,960,0,1
4,11,69008,10,10,76608,120,62904,14,10,6,9,16736,1056,0,1
1,11,119984,0,6,139760,116,110592,14,10,5,12,16704,992,0,1
4,11,143392,0,6,181504,116,122880,14,10,6,12,16736,992,0,1
4,6,528384,0,0,597056,52,0,9,0,11,12,0,25536,0,1
4,6,442368,0,0,498704,54,0,9,0,8,12,0,21628,0,1
4,6,5200,6,6,0,0,4096,9,0,4,11,32832,6416,0,1
4,6,5392,6,6,1012048,6695,4096,9,0,5,9,320,24872,0,1
1,11,28320,10,10,312832,6752,327680,14,10,5,9,16704,25896,0,1
4,11,392176,10,10,478448,6752,380952,14,10,6,9,16736,25896,0,1
1,6,4752,6,6,715936,6695,4096,9,0,5,9,320,24872,0,1
1,11,19776,10,10,247520,240,253952,14,10,5,9,16704,608568,0,1
4,11,252816,10,10,293824,240,234864,14,10,6,9,16736,608568,0,1
1,6,5360,6,6,378224,240,4096,9,0,4,9,320,609456,0,1
4,6,6624,6,6,494064,240,4096,9,0,4,9,320,609456,0,1
4,11,152288,10,10,158528,296,140224,14,10,5,9,16736,1096,0,1
1,11,15248,10,10,129088,296,143360,14,10,4,9,16704,1096,0,1
4,11,13344,10,10,0,0,12640,14,10,6,11,49632,2576,0,1
1,6,57616,0,5,116848,2214,57344,10,0,4,12,320,1912,0,1
4,6,70176,0,5,133120,2104,69632,10,0,5,12,320,1888,0,1
1,6,25136,0,5,0,0,24576,10,0,4,12,33088,33016,0,1
4,0,0,0,6,55792,5200,40960,12,0,5,12,352,888,0,1
1,6,40560,0,6,42960,5496,32768,14,10,4,12,320,936,0,1
1,6,416928,0,6,428736,1672,319488,14,10,4,12,320,944,0,1
4,0,0,0,6,119168,477,102400,12,0,5,12,352,880,0,1
1,6,119360,0,6,120208,508,110592,14,10,4,12,320,928,0,1
1,11,9808,10,10,64256,124,69632,14,10,4,9,16704,3016,0,1
